ID,titles,origin_clean,date,topic
3171313081.0,"Q+A: What do you want to know about the Ontario election? Submit your questions now:   Queen’s Park reporter Laura Stone and columnist Robyn Urback will be answering reader questions about the election, U.S. tariffs and what it means for the province",The Globe and Mail,2025-02-26,0
3171253100.0,"Ontario’s election is Thursday. Here’s what you need to know about party platforms and how to vote:   On Feb. 27, Doug Ford’s PCs seek a new majority as the NDP, Liberals and Greens hope to gain ground. Learn more about what’s at stake",The Globe and Mail,2025-02-26,0
3171210696.0,What you need to know about the Ontario election:   Doug Ford called a snap election in wake of Trump tariffs,The Globe and Mail,2025-02-26,0
3171135998.0,"Weather, timing could take toll on Ontario turnout:   Experts are divided on whether low voter numbers signal an ailing democracy or a temporary lack of interest by the public",The Globe and Mail,2025-02-26,0
3170675736.0,Ontario opposition parties face uphill fight:   Liberals’ Crombie and NDP’s Stiles lag behind PC Leader Doug Ford in snap winter election amid Trump tariff crisis,The Globe and Mail,2025-02-25,0
3170675732.0,"On housing, does Ford have the answers – and the guts to act?",The Globe and Mail,2025-02-25,10
3170675544.0,Ontarians should focus on the miserable state of our schools,The Globe and Mail,2025-02-25,3
3169905537.0,"Ontario workers worse off now than before Ford was elected, critics say",The Globe and Mail,2025-02-24,20
3169311091.0,"Ford’s office warned about electioneering on D.C. trip:   Video of the mission should not be used for campaign purposes, said Cabinet Secretary letter",The Globe and Mail,2025-02-22,0
3169310964.0,"Ford’s education funding vow isn’t enough: opposition:   Ontario NDP, Liberals say provincial Tories have left too many schools in need of repair",The Globe and Mail,2025-02-22,3
3168929515.0,Concerns rise over plans to shut Ontario drug-use sites:   Doug Ford says a PC government will create 27 addiction recovery treatment hubs,The Globe and Mail,2025-02-21,8
3168928996.0,"Ford defends sponsoring interview with Trump, Musk as way to reach Americans",The Globe and Mail,2025-02-21,0
3168509588.0,Ontario government sponsors Hannity’s show on Fox News for Trump and Musk interview,The Globe and Mail,2025-02-20,0
3168449680.0,"Ontario government sponsors Sean Hannity’s show on Fox News for Trump and Musk interview:   The sponsorship is part of an ad buy costing tens of millions of dollars, but the government won’t reveal the full cost",The Globe and Mail,2025-02-19,0
3168234351.0,"Morning Update: The different sides of Doug Ford:   Also in today’s edition: Passengers reflect on the Toronto plane crash, and provinces plan an economic future with tariffs",The Globe and Mail,2025-02-19,0
3168155563.0,Greenbelt scandal hangs over Ford as Ontario election nears:   The PC Leader is sending voters to the polls during probe into his government’s aborted plan to develop the protected area,The Globe and Mail,2025-02-19,0
3167802494.0,The premiers need to be challenged on the notwithstanding clause,The Globe and Mail,2025-02-18,14
3167802491.0,"Five takeaways from final Ontario debate:   Ford, Crombie, Stiles and Schreiner battle each other as province’s election day nears",The Globe and Mail,2025-02-18,0
3166911476.0,Ontario election shows supporting Canada requires more than selective grocery shopping,The Globe and Mail,2025-02-15,0
3166897328.0,"Ford ‘ripped up’ housing rules, critics say:   Developers praise PCs, but housing starts are down and Ontario is buildi ng less per capita than B.C., Alberta and Quebec",The Globe and Mail,2025-02-15,10
3166893599.0,Provincial leaders face off in northern debate:   PC Leader Doug Ford was targeted for his housing record and calling an early election,The Globe and Mail,2025-02-15,0
3166403727.0,A big election with three small visions,The Globe and Mail,2025-02-14,0
3166403715.0,What the data say about the state of Ontario’s health care,The Globe and Mail,2025-02-14,1
3166403712.0,Ontario NDP files ethics complaint over Ford’s Washington trip,The Globe and Mail,2025-02-14,0
