Topic,Words,Frequency,Class,Name
-1,"ontario, advertising, government, ford, local",24,The Toronto Sun,-1_government_ontario_said_ford
0,"ford, tariffs, election, trump, crombie",87,The Toronto Sun,0_ford_election_tariffs_trump
1,"care, health, family, doctors, health care",10,The Toronto Sun,1_care_health_hospital_health care
2,"tax, billion, spending, ford, government",24,The Toronto Sun,2_tax_billion_government_ford
3,"education, school, students, schools, colleges",14,The Toronto Sun,3_students_colleges_school_education
4,"encampments, people, homelessness, housing, homeless",5,The Toronto Sun,4_encampments_homeless_people_housing
5,"bike, lanes, bike lanes, city, toronto",11,The Toronto Sun,5_bike_lanes_bike lanes_traffic
6,"beer, stores, alcohol, store, convenience",11,The Toronto Sun,6_beer_stores_store_alcohol
7,"lcbo, strike, union, workers, hornick",17,The Toronto Sun,7_lcbo_strike_union_stores
8,"sites, drug, health, safe, safer",12,The Toronto Sun,8_sites_drug_health_consumption
9,"judges, bail, police, judicial, ford",11,The Toronto Sun,9_judges_police_bail_judicial
10,"housing, storey, residential, new housing, buildings",4,The Toronto Sun,10_housing_homes_affordable_units
11,"energy, electricity, power, nuclear, gas",6,The Toronto Sun,11_energy_power_electricity_gas
12,"science centre, science, centre, facility, roof",4,The Toronto Sun,12_science_science centre_centre_buildin...
13,"tunnel, highway, 401, idea, transit",7,The Toronto Sun,13_tunnel_highway_401_407
14,"hahn, speaker, arnott, legislature, political",9,The Toronto Sun,14_arnott_speaker_legislature_wearing
15,"carbon, carbon tax, tax, crombie, ford",12,The Toronto Sun,15_carbon_tax_carbon tax_crombie
16,"business case, ontario place, therme, place, science centre",1,The Toronto Sun,16_place_ontario place_therme_ontario
17,"transit, metrolinx, crosstown, line, train",9,The Toronto Sun,17_transit_metrolinx_lrt_crosstown
19,"bags, paper, lcbo, paper bags, locations",10,The Toronto Sun,19_bags_paper_serviceontario_paper bags
20,"court, strike, right, decision, ttc",1,The Toronto Sun,20_workers_wage_court_public sector
-1,"government, said, ontario, federal, mining",22,The Globe and Mail,-1_government_ontario_said_ford
0,"mr, mr ford, ford, trump, election",75,The Globe and Mail,0_ford_election_tariffs_trump
1,"care, health, family, primary care, doctors",13,The Globe and Mail,1_care_health_hospital_health care
2,"tax, government, year, billion, budget",14,The Globe and Mail,2_tax_billion_government_ford
3,"students, colleges, education, universities, schools",23,The Globe and Mail,3_students_colleges_school_education
4,"clause, encampments, notwithstanding clause, notwithstanding, mayors",7,The Globe and Mail,4_encampments_homeless_people_housing
5,"bike, lanes, bike lanes, toronto, traffic",10,The Globe and Mail,5_bike_lanes_bike lanes_traffic
6,"beer, store, stores, beer store, alcohol",14,The Globe and Mail,6_beer_stores_store_alcohol
7,"lcbo, strike, stores, union, workers",12,The Globe and Mail,7_lcbo_strike_union_stores
8,"sites, drug, consumption, health, drugs",14,The Globe and Mail,8_sites_drug_health_consumption
