,titles,dates,origin,section,ID,exclusion_reason
1,"Politics Insider: Ottawa sends cabinet minister, fentanyl czar to Washington to make case against tariffs on Canadian goods:   Trump sows confusion by s uggesting tariffs have been pushed back to April 2, but his Secretary of Commerce says March 4 date still in effect",2025-02-26, The Globe and Mail (Online); Toronto, Politics,3171428538,"Federal tariff diplomacy (federal Public Safety Minister, fentanyl czar, Trump); no Ontario provincial focus"
3,The Liberal Party’s fast-forward leadership contest sharpens sales pitches to succeed Trudeau:   The candidates are running under a massive banner saying that some mistakes were made,2025-02-26, The Globe and Mail (Online); Toronto, Politics,3171313080,Federal Liberal Party leadership race to succeed Trudeau
5,"Who’s running to replace Justin Trudeau as Liberal leader? Latest updates on the party’s next moves:   A divided party is scrambling to redefine itself before Parliament returns in March, and an election starts sometime this year. Check back here for the latest news",2025-02-26, The Globe and Mail (Online); Toronto, Politics,3171242949,Federal Liberal Party leadership race
8,"N.S. tables bill to ease trade with provinces, territories that do the same",2025-02-26," The Globe and Mail; Toronto, Ont.", News,3171135990,Nova Scotia interprovincial trade legislation; no Ontario provincial focus
10,Politics Insider: Andrew Furey quitting politics after less than five years as Premier:   The announcement comes on the heels of Dennis Ki ng’s exit in P.E.I.,2025-02-25, The Globe and Mail (Online); Toronto, Politics,3170972566,Newfoundland/federal politics (NL Premier Furey resignation)
11,"Nova Scotia tables bill to ease trade with other provinces, territories:   The legislation would remove red tape on goods, services and worker certifications that have met regulatory standards in other provinces and a territories",2025-02-25, The Globe and Mail (Online); Toronto, National,3170904920,Nova Scotia interprovincial trade legislation
12,The Canada-U.S. tariff feud could soon get worse. Here are the latest updates and what they mean for your finances:   Donald Trump’s trade feud with Canada is upending the North American economy as we know it. Check back here for the latest developments and ideas on what you can do,2025-02-25, The Globe and Mail (Online); Toronto, Politics,3170856527,National Canada-US tariff war tracker; federal and Liberal leadership focus
20,"With 1,100 kilometres of range, Ramcharger hybrid aims to end range anxiety, bridge electric gap:   Unlike many common hybrids, the gasoline engine drives a 130-kilowatt generator that sends power to the front and rear electric motors, and tops up the battery",2025-02-24, The Globe and Mail (Online); Toronto, Other,3170559210,Automotive product review (Ram Ramcharger hybrid pickup)
22,"Politics Insider: Trump says tariffs are on schedule, ‘moving along very rapidly’:   Also: Trudeau does not rule out sending Canadian troops to Ukraine if a p eace deal is reached",2025-02-24, The Globe and Mail (Online); Toronto, Politics,3170409253,"Federal/US politics (Trump tariffs schedule, Trudeau on Ukraine troops)"
23,"Globe Climate: Adapting limb by limb:   To prevent wildfires from burning unchecked, B.C. forests need a makeover. No matter how long it takes.",2025-02-24, The Globe and Mail (Online); Toronto, National,3170222542,"Climate newsletter (BC forests, Montreal snow removal)"
24,Morning Update: Three years of war in Ukraine:   Also in today’s edition: ER wait times in Ontario and a pair of Liberal leadership debates,2025-02-24, The Globe and Mail (Online); Toronto, National,3170010641,News digest led by Ukraine war anniversary and federal Liberal leadership debates
27,"Canadian software could be in Trump’s sights for tariffs, technology lawyers warn",2025-02-24," The Globe and Mail; Toronto, Ont.", Report on Business,3169905548,Federal/US software tariff analysis
30,"Canadian software could be in Donald Trump’s sights for tariffs, technology lawyers warn:   Digital products exempt from customs duties, fees, other charges under CUSMA, but ‘everything is thrown up in the air,’ Dentons law yer warns as U.S. President readies retaliation for digital services tax",2025-02-23, The Globe and Mail (Online); Toronto, Business,3169826636,Federal/US software tariff analysis
31,"As a Holocaust survivor, I’m alarmed to see the rising strength of Germany’s far right",2025-02-22," The Globe and Mail; Toronto, Ont.", Opinion,3174225633,International opinion essay (rise of Germany's far right)
32,"Canada’s border is broken, but not the way Trump thinks. Here’s how the next government can fix it:   Our real border is not the 8,891-­kilometre line to our south, but a complex set of institutions and rules that determine who can enter, who can stay and who should be kept out",2025-02-22, The Globe and Mail (Online); Toronto, Other,3169417556,Federal immigration and border policy essay
33,Ottawa to drop many exceptions from Canadian Free Trade Agreement,2025-02-22," The Globe and Mail; Toronto, Ont.", Report on Business,3169311623,Federal internal-trade policy (Canadian Free Trade Agreement exceptions)
34,"BORDERLINES:   Canada’s border is broken – but not the way Donald Trump thinks it is, writes Doug Saunders. Our real border is not the 8,891-kilometre line to our south, but a complex set of institutions and rules that determine who can enter, who can stay and who should be kept out. Here’s how to fix it",2025-02-22," The Globe and Mail; Toronto, Ont.", Opinion,3169311101,Federal immigration and border policy column
37,Liberal Party removes Ruby Dhalla as leadership contender,2025-02-22," The Globe and Mail; Toronto, Ont.", News,3169310965,Federal Liberal Party leadership race (Ruby Dhalla disqualification)
40,"The bright lights in Canadian architecture:   At a time when design is in a sad state in most of the country, Toronto firm LGA sets the stage for collective joy",2025-02-22," The Globe and Mail; Toronto, Ont.", Books,3169309774,Architecture/design feature (Toronto firm LGA)
41,Liberal Party removes Ruby Dhalla as leadership contender over campaign irregularities:   The leadership vote committee determined Dhalla’s campaign had 10 violations of Liberal leadership electoral rules and expenses,2025-02-21, The Globe and Mail (Online); Toronto, Politics,3169231947,Federal Liberal Party leadership race (Ruby Dhalla disqualification)
